# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
wo fa 	我發	c=0 d=0.1 t=2133
wo fa de 	我發的	c=2 d=1 t=16942
wo fang 	我方	c=0 d=0.1 t=5752
wo fen shou hou 	我分手後	c=1 d=1 t=12884
wo gan ga 	我尷尬	c=1 d=1 t=11661
wo gang 	我剛	c=2 d=0.183326 t=12932
wo gang gang 	我剛剛	c=2 d=1.00045 t=18090
wo gang zhuan le 	我剛賺了	c=1 d=1 t=12933
wo gei 	我給	c=1 d=0.102632 t=15605
wo gei le 	我給了	c=1 d=1 t=15606
wo gei ni 	我給你	c=6 d=0.100001 t=14852
wo gei ni jiang 	我給你講	c=1 d=1 t=7506
wo gei ni zhao zhao 	我給你找找	c=1 d=1 t=14853
wo geng 	我更	c=0 d=0.1 t=12981
wo geng nan 	我更難	c=1 d=1 t=7699
wo geng nan shou 	我更難受	c=1 d=1 t=12982
wo gu 	我估	c=1 d=1 t=14370
wo gu ji 	我估計	c=1 d=1 t=8618
wo guan zhu 	我關注	c=1 d=1 t=15564
wo guo qu 	我過去	c=1 d=1 t=12526
wo ha 	我哈	c=1 d=1 t=12450
wo hai 	我還	c=4 d=0.1 t=17161
wo hai bu gou 	我還不夠	c=1 d=1 t=6430
wo hai neng 	我還能	c=0 d=0.1 t=7428
wo hai neng neng 	我還能能	c=1 d=1 t=7429
wo hai nian qing 	我還年輕	c=1 d=1 t=17161
wo hai shi 	我還是	c=1 d=1 t=12452
wo hai xiang 	我還想	c=1 d=1 t=16220
wo hai xiao 	我還小	c=1 d=1 t=17162
wo hai yi wei 	我還以爲	c=1 d=1 t=12548
wo hai you 	我還有	c=1 d=1 t=5380
wo hai zai 	我還在	c=2 d=1.0007 t=9144
wo hao 	我好	c=0 d=0.1 t=12860
wo hao bu rong yi 	我好不容易	c=1 d=1 t=10316
wo he 	我和	c=0 d=0.1 t=4647
wo he ni 	我和你	c=0 d=0.1 t=6461
wo he ni bei 	我和你被	c=1 d=1 t=6462
wo he ni shuo 	我和你說	c=1 d=1 t=4648
wo hua hua 	我畫畫	c=2 d=1 t=14402
wo huai yi 	我懷疑	c=1 d=0.1 t=14623
wo huai yi ni he 	我懷疑你和	c=1 d=1 t=14624
wo huan ting le 	我幻聽了	c=2 d=1 t=12549
wo hui 	我會	c=1 d=1.00001 t=17391
wo hui chui suo na 	我會吹嗩吶	c=1 d=1 t=15519
wo hui qin shi 	我回寢室	c=1 d=1 t=17905
wo hui qin shi le 	我回寢室了	c=1 d=1 t=7399
wo hun hun 	我混混	c=1 d=1 t=658
wo ji bu qing 	我記不清	c=1 d=1 t=15385
wo ji cuo le 	我記錯了	c=1 d=1 t=1769
wo ji de 	我記得	c=1 d=1 t=10225
wo ji hu 	我幾乎	c=1 d=1 t=6590
wo jia 	我家	c=2 d=1 t=15853
wo jia bao bei 	我家寶貝	c=1 d=1 t=2479
wo jia le 	我加了	c=1 d=1 t=13117
wo jia shang le 	我家上了	c=1 d=1 t=12625
wo jian qiang 	我堅強	c=1 d=1 t=11667
wo jiang 	我將	c=1 d=1 t=8185
wo jiao 	我叫	c=0 d=0.1 t=2690
wo jiao ni 	我叫你	c=1 d=1 t=2691
wo jie 	我姐	c=1 d=1 t=11541
wo jie fu 	我姐夫	c=1 d=1 t=5759
wo jie ge 	我傑哥	c=1 d=1 t=13041
wo jie jie 	我姐姐	c=1 d=1 t=12400
wo jie jie jia 	我姐姐家	c=1 d=1 t=1494
wo jie jin quan li 	我竭盡全力	c=1 d=1 t=12304
wo jin li 	我盡力	c=1 d=1 t=1220
wo jin quan li 	我盡全力	c=1 d=1 t=12827
wo jin tian 	我今天	c=3 d=1.09317 t=15341
wo jin tian mei ke 	我今天沒課	c=1 d=1 t=14326
wo jiu 	我就	c=18 d=0.992309 t=16895
wo jiu bu 	我就不	c=0 d=0.1 t=1809
wo jiu bu shi le 	我就不試了	c=1 d=1 t=3316
wo jiu bu shuo 	我就不說	c=1 d=1 t=10547
wo jiu hen yuan 	我就很冤	c=1 d=1 t=12730
wo jiu jue de 	我就覺得	c=1 d=1 t=11472
wo jiu kan dian ying 	我就看電影	c=1 d=1 t=12467
wo jiu kan kan 	我就看看	c=1 d=1 t=10536
wo jiu mei you 	我就沒有	c=2 d=1 t=12459
wo jiu qu 	我就去	c=1 d=1 t=12659
wo jiu shi 	我就是	c=1 d=1 t=13694
wo jiu te bie 	我就特別	c=1 d=1 t=16812
wo jiu tu ran 	我就突然	c=1 d=1 t=16896
wo jiu xi huan 	我就喜歡	c=1 d=1 t=16869
wo jiu xian zhe 	我就閒着	c=1 d=1 t=16827
wo jiu xiang chi 	我就想喫	c=1 d=1 t=14136
wo ju ge 	我舉個	c=1 d=1 t=7149
wo ju jue 	我拒绝	c=1 d=1 t=7898
wo jue de 	我覺得	c=11 d=1.0891 t=15873
wo jue ding 	我決定	c=1 d=1 t=8253
wo kan 	我看	c=5 d=1.00004 t=15347
wo kan bu dong 	我看不懂	c=1 d=1 t=594
wo kan de 	我看的	c=1 d=1 t=13653
wo kan hua 	我看畫	c=1 d=1 t=11342
wo kan ji piao 	我看機票	c=1 d=1 t=896
wo kan kan 	我看看	c=3 d=1.00001 t=13587
wo kan le 	我看了	c=1 d=1 t=1791
wo kan wang shang 	我看網上	c=1 d=1 t=579
wo kan zhi qian 	我看之前	c=1 d=1 t=1763
wo ke 	我可	c=2 d=0.100019 t=16687
wo ke bu shi 	我可不是	c=1 d=1 t=16688
wo ke bu zhi dao 	我可不知道	c=1 d=1 t=3240
wo ke mei 	我可沒	c=1 d=1 t=17159
wo ke qing song tai duo le 	我可輕鬆太多了	c=1 d=1 t=2679
wo ke shi 	我可是	c=2 d=1.09255 t=14180
wo ke yi 	我可以	c=2 d=1 t=16884
wo ke yi bang ni 	我可以幫你	c=1 d=1 t=12051
wo lai dao 	我來到	c=1 d=1 t=17025
wo le 	我了	c=0 d=0.1 t=13922
wo li de 	我離得	c=1 d=1 t=16173
wo lia 	我倆	c=1 d=1 t=16163
wo lian hong 	我臉紅	c=1 d=1 t=16237
wo ma 	我媽	c=1 d=0.1 t=9181
wo ma ma 	我媽媽	c=2 d=1 t=15497
wo ma ping kan 	我媽平砍	c=1 d=1 t=9182
wo mai de 	我買的	c=1 d=1 t=18015
wo man 	沃曼	c=1 d=1 t=1393
wo mei 	我沒	c=6 d=0.479295 t=16911
wo mei bao 	我沒報	c=1 d=1 t=8642
wo mei dai san 	我沒帶傘	c=1 d=1 t=15301
wo mei de 	我沒的	c=1 d=1 t=11370
wo mei dong 	我沒懂	c=1 d=1 t=4250
wo mei kan dong 	我沒看懂	c=1 d=1 t=3826
wo mei liao jie guo 	我沒瞭解過	c=1 d=1 t=3225
wo mei lin dao yu 	我沒淋到雨	c=1 d=1 t=15303
wo mei suo wei 	我沒所謂	c=1 d=1 t=16912
wo mei xiang dao 	我沒想到	c=1 d=1 t=13642
wo mei xiao hui 	我沒銷毀	c=1 d=1 t=126
wo mei xue sha 	我沒學啥	c=1 d=1 t=6596
wo mei you 	我沒有	c=5 d=1 t=12374
wo mei zui 	我沒醉	c=1 d=1 t=12710
wo men 	我們	c=45 d=1.23717 t=18164
wo men gang gang gan fan 	我們剛剛幹飯	c=1 d=1 t=14821
wo men qin shi 	我們寢室	c=1 d=1 t=8528
wo men xue xiao 	我們學校	c=1 d=0.1 t=10991
wo men xue xiao de 	我們學校的	c=1 d=1 t=10992
wo men zhe bian 	我們這邊	c=1 d=1 t=1406
wo mi ma 	我密碼	c=1 d=1 t=2595
wo ming tian 	我明天	c=2 d=1 t=16050
wo ming tian you ke 	我明天有課	c=1 d=1 t=4132
wo na hui 	我那會	c=1 d=1 t=10767
wo neng 	我能	c=3 d=1 t=16891
wo niu 	蝸牛	c=1 d=1 t=15857
wo nv peng you 	我女朋友	c=2 d=1 t=14492
wo pei ni 	我陪你	c=1 d=1 t=14721
wo peng you 	我朋友	c=1 d=1 t=12524
wo pin ming 	我拼命	c=1 d=1 t=6558
wo qian liang tian 	我前兩天	c=2 d=1.00436 t=1169
wo qiang liang tian 	我強兩天	c=1 d=1 t=110
wo qiang po zheng 	我強迫症	c=1 d=1 t=6552
wo qing qiu 	我請求	c=1 d=1 t=617
wo qu 	我去	c=4 d=1.1797 t=15357
wo qu kan kan 	我去看看	c=2 d=1.00259 t=2375
wo qu kan shi pin 	我去看視頻	c=1 d=1 t=1984
wo qu le 	我去了	c=1 d=1 t=12088
wo qu xie zuo ye 	我去寫作業	c=1 d=1 t=15335
wo qu xue 	我去學	c=1 d=1 t=14682
wo qu zhao ge 	我去找個	c=1 d=1 t=1981
wo quan 	我勸	c=2 d=1.69073 t=14123
wo quan he 	我勸和	c=1 d=1 t=14037
wo rang 	我讓	c=0 d=0.1 t=11222
wo rang 	沃壤	c=0 d=0.1 t=11221
wo rang ni 	我讓你	c=1 d=1 t=11223
wo rang ni 	沃壤你	c=1 d=1 t=11222
wo ren shi 	我認識	c=1 d=1 t=16705
wo sha 	我啥	c=1 d=1 t=17038
wo shang yi ge 	我上一個	c=1 d=1 t=16153
wo she you 	我舍友	c=2 d=1.00135 t=14437
wo shi 	我是	c=10 d=1.00082 t=17385
wo shi ge 	我是個	c=1 d=1 t=12815
wo shi ji suan ji 	我是計算機	c=1 d=1 t=1223
wo shi lai 	我是來	c=1 d=1 t=10183
wo shi shi 	我試試	c=4 d=1 t=15027
wo shi shou 	我是受	c=1 d=1 t=6546
wo shi shuo 	我是說	c=1 d=1 t=2683
wo shi yong 	我使用	c=2 d=1.94176 t=1626
wo shi you 	我室友	c=4 d=1.02161 t=13171
wo shou ji 	我手機	c=1 d=1 t=3902
wo shu ru fa 	我輸入法	c=1 d=1 t=2837
wo shui ye bu ren shi 	我誰也不認識	c=1 d=1 t=14197
wo shuo 	我說	c=2 d=1 t=13929
wo shuo de 	我說的	c=3 d=1.00017 t=13211
wo shuo gei ni jiang 	我說給你講	c=1 d=1 t=7682
wo shuo le 	我說了	c=2 d=1.74082 t=16954
wo shuo le suan 	我說了算	c=1 d=1 t=7637
wo shuo ni 	我說你	c=1 d=1 t=17500
wo shuo wan 	我說玩	c=1 d=1 t=11660
wo suan chu 	我算出	c=2 d=1.9802 t=14764
wo sui kou shuo de 	我隨口說的	c=1 d=1 t=16687
wo tai ben 	我太笨	c=1 d=1 t=14260
wo te 	我特	c=1 d=1 t=16860
wo ti gong 	我提供	c=1 d=1 t=2109
wo tiao 	我跳	c=1 d=1 t=13040
wo ting 	我聽	c=0 d=0.1 t=13655
wo ting de 	我聽的	c=1 d=1 t=13656
wo tong xue 	我同學	c=2 d=1 t=16820
wo tong yi 	我同意	c=1 d=1 t=16206
wo wei sha 	我爲啥	c=1 d=1 t=12789
wo wen 	我問	c=0 d=0.1 t=8603
wo wen le 	我問了	c=1 d=1 t=12758
wo wen wo men 	我問我們	c=1 d=1 t=8604
wo xi huan 	我喜歡	c=1 d=0.1 t=14153
wo xi huan ji shu 	我喜歡技術	c=1 d=1 t=11381
wo xi huan yun dong le 	我喜歡雲懂了	c=1 d=1 t=14154
wo xi wang 	我希望	c=1 d=1 t=9785
wo xian 	我先	c=1 d=0.451692 t=13700
wo xian tui xia le 	我先退下了	c=1 d=1 t=13701
wo xian xie zuo ye 	我先寫作業	c=1 d=1 t=8326
wo xian zai 	我現在	c=8 d=1.83946 t=14915
wo xiang 	我想	c=4 d=1 t=16918
wo xiang chi 	我想喫	c=1 d=1 t=3392
wo xiang duo le 	我想多了	c=1 d=1 t=848
wo xiang he 	我想喝	c=2 d=1.79453 t=3341
wo xiang mai 	我想買	c=1 d=1 t=6856
wo xiang ni 	我想你	c=1 d=1.00484 t=2704
wo xiang ni la 	我想你啦	c=1 d=1 t=2705
wo xiang wen yi xia 	我想問一下	c=1 d=1 t=9911
wo xie 	我寫	c=0 d=0.1 t=4013
wo xie de 	我寫的	c=1 d=1 t=4014
wo xu yao 	我需要	c=1 d=1 t=13109
wo xuan de 	我選的	c=1 d=1 t=16225
wo xuan ze 	我選擇	c=1 d=1 t=13079
wo xue 	我學	c=1 d=1 t=16888
wo xue ji suan ji 	我學計算機	c=1 d=1 t=6564
wo xun si 	我尋思	c=1 d=1 t=13818
wo ya 	我呀	c=0 d=0.1 t=2870
wo yao 	我要	c=0 d=0.1 t=9116
wo yao gao su 	我要告訴	c=1 d=1 t=9117
wo yao yong 	我要用	c=1 d=1 t=15636
wo ye 	我也	c=7 d=0.105572 t=17154
wo ye bu 	我也不	c=0 d=0.1 t=14645
wo ye bu hui 	我也不會	c=1 d=1 t=6598
wo ye bu ji 	我也不急	c=1 d=1 t=14646
wo ye bu xiang xin 	我也不相信	c=1 d=1 t=12868
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=13053
wo ye dei 	我也得	c=1 d=1 t=6603
wo ye e le 	我也餓了	c=1 d=1 t=9889
wo ye hui 	我也會	c=1 d=1 t=2641
wo ye jiu neng 	我也就能	c=1 d=1 t=7687
wo ye kan bu dong 	我也看不懂	c=1 d=1 t=608
wo ye ke yi 	我也可以	c=1 d=1 t=15574
wo ye mei 	我也沒	c=2 d=1 t=16230
wo ye mei sha 	我也沒啥	c=2 d=1.00006 t=4626
wo ye mei shuo 	我也沒說	c=1 d=1 t=14188
wo ye mei you 	我也沒有	c=1 d=1 t=9968
wo ye mei zuo cuo 	我也沒做錯	c=1 d=1 t=10026
wo ye shi 	我也是	c=1 d=1 t=16903
wo ye shuo 	我也說	c=1 d=1 t=17155
wo ye xiang 	我也想	c=0 d=0.1 t=2826
wo ye xiang ni la 	我也想你啦	c=1 d=1 t=2827
wo ye xue dao le 	我也學到了	c=1 d=1 t=487
wo yi 	我一	c=1 d=0.1 t=11470
wo yi ban 	我一班	c=1 d=1 t=13054
wo yi er 	我一二	c=1 d=1 t=12084
wo yi ge 	我一個	c=2 d=0.100003 t=12429
wo yi ge peng you 	我一個朋友	c=1 d=1 t=12430
wo yi hui 	我一會	c=1 d=1 t=7913
wo yi kai kou 	我一開口	c=1 d=1 t=11471
wo yi qi 	我一起	c=1 d=1 t=12823
wo yi shi 	我意識	c=1 d=1 t=11432
wo yi tian 	我一天	c=1 d=1 t=2674
wo yi wei 	我以爲	c=2 d=0.1 t=8912
wo yi wei ni yao 	我以爲你要	c=1 d=1 t=8913
wo ying gai 	我應該	c=0 d=0.1 t=613
wo ying gai sou sha 	我應該搜啥	c=1 d=1 t=614
wo yong 	我用	c=2 d=1 t=15600
wo yong bu liao 	我用不了	c=1 d=1 t=1806
wo yong de 	我用的	c=1 d=1 t=2089
wo you 	我又	c=3 d=0.1 t=15744
wo you 	我有	c=0 d=0.1 t=12067
wo you ge 	我有個	c=1 d=1 t=88
wo you hua 	我優化	c=1 d=1 t=8003
wo you qu 	我又去	c=1 d=1 t=12765
wo you sha 	我有啥	c=1 d=0.1 t=14677
wo you yu dao 	我又遇到	c=1 d=1 t=15745
wo you zi liao 	我有資料	c=1 d=1 t=12068
wo yu dao 	我遇到	c=0 d=0.1 t=12884
wo yu dao le 	我遇到了	c=2 d=1 t=15748
wo zai 	我在	c=7 d=1.13516 t=18100
wo zai kan 	我在看	c=1 d=1 t=13252
wo zai pei zhe ni ya 	我在陪着你呀	c=1 d=1 t=2637
wo zai shi shi 	我在試試	c=1 d=1 t=18067
wo zai shi shi ba 	我在試試吧	c=1 d=1 t=8540
wo zao jiu 	我早就	c=1 d=1 t=10765
wo zen me 	我怎麼	c=2 d=1 t=10682
wo zeng jia le 	我增加了	c=1 d=1 t=8049
wo zhang 	我張	c=1 d=1 t=12676
wo zhao zhe 	我照着	c=1 d=1 t=12175
wo zhe 	我這	c=0 d=0.1 t=2379
wo zhe bian 	我這邊	c=5 d=1.02949 t=15658
wo zhe jiu 	我這就	c=1 d=1 t=12191
wo zhe jiu qu kan kan 	我這就去看看	c=1 d=1 t=2380
wo zhe liang tian 	我這兩天	c=1 d=1 t=15444
wo zhe qu kan 	我這去看	c=1 d=1 t=13265
wo zhen 	我真	c=0 d=0.1 t=11472
wo zhen de 	我真的	c=3 d=1.98511 t=12297
wo zhen sha 	我真傻	c=1 d=1 t=11473
wo zhen xiang 	我真想	c=1 d=1 t=10342
wo zheng 	我正	c=1 d=1 t=13049
wo zheng ming 	我證明	c=1 d=1 t=14831
wo zheng zai 	我正在	c=1 d=1 t=7435
wo zhi dao 	我知道	c=4 d=1 t=15060
wo zhi jie 	我直接	c=3 d=1.00865 t=14567
wo zhi qian 	我之前	c=4 d=1.00074 t=16539
wo zhi qian xue xiao 	我之前學校	c=1 d=1 t=8582
wo zhi shi 	我只是	c=1 d=1 t=14052
wo zhi xiang 	我只想	c=1 d=1 t=12977
wo zhi you 	我只有	c=2 d=1.00004 t=14138
wo zhuan sheng ben 	我專升本	c=1 d=1 t=10200
wo zhun bei 	我準備	c=1 d=1 t=4639
wo zhuo zi shang 	我桌子上	c=1 d=1 t=13018
wo zi ji 	我自己	c=6 d=1 t=15865
wo zi ji de 	我自己的	c=1 d=1 t=2148
wo zong 	我總	c=1 d=1 t=13927
wo zui can de 	我最慘的	c=1 d=1 t=12684
wo zui jin 	我最近	c=1 d=1 t=11384
wo zuo 	我做	c=0 d=0.1 t=978
wo zuo tian 	我昨天	c=1 d=1 t=12522
wo zuo tian hai xie ri ji le 	我做天海寫日記了	c=1 d=1 t=979
wo zuo wan 	我昨晚	c=1 d=1 t=14170
wu 	塢	c=1 d=1 t=14593
wu 	屋	c=0 d=0.1 t=6508
wu 	無	c=4 d=1 t=17558
wu 	舞	c=1 d=1 t=15261
wu cao zuo 	誤操作	c=1 d=1 t=6818
wu dao 	舞蹈	c=1 d=1 t=5182
wu fa 	無法	c=5 d=1 t=8289
wu fa zan ting 	無法暫停	c=1 d=1 t=737
wu fa zhao dao 	無法找到	c=1 d=1 t=938
wu fan 	午飯	c=1 d=1 t=1708
wu hua ke shuo 	無話可說	c=3 d=1 t=13177
wu hua ke shuo le 	無話可說了	c=1 d=1 t=6468
wu kong 	悟空	c=1 d=1 t=8301
wu li jie gou 	物理結構	c=1 d=1 t=4381
wu li you 	無理由	c=2 d=1.97045 t=13158
wu liao 	無聊	c=5 d=1.84794 t=16861
wu liao bei 	無聊唄	c=1 d=1 t=15306
wu liao le 	無聊了	c=1 d=1 t=2312
wu liao me 	無聊麼	c=1 d=1 t=2613
wu lun 	無論	c=2 d=1.5886 t=17105
wu lun shi 	無論是	c=1 d=1 t=5279
wu mie 	污衊	c=1 d=1 t=7684
wu qi 	武器	c=0 d=0.1 t=6209
wu qi kong 	武器空	c=1 d=1 t=6210
wu ren he 	無任何	c=1 d=1 t=4366
wu si 	五四	c=1 d=1 t=16044
wu suo 	無鎖	c=2 d=1.00002 t=10113
wu suo shi shi 	無所事事	c=1 d=1 t=2675
wu suo wei 	無所謂	c=2 d=1 t=10108
wu ti 	物體	c=1 d=1 t=11652
wu tiao jian 	無條件	c=2 d=1.95123 t=5907
wu wen xi dong 	无问西东	c=1 d=1 t=13825
wu wu 	嗚嗚	c=1 d=1 t=8527
wu wu wu 	嗚嗚嗚	c=1 d=1 t=8541
wu xian 	無線	c=1 d=0.1 t=16194
wu xian 	無限	c=2 d=1 t=16196
wu xian lie che 	無線列車	c=1 d=1 t=16195
wu xiao 	無效	c=1 d=1 t=7327
wu xu 	無需	c=1 d=1 t=6997
wu zhi hua 	無紙化	c=1 d=1 t=7710
wu zhi zhuan sheng 	無職轉生	c=1 d=1 t=2377
xi 	喜	c=0 d=0.1 t=13122
xi 	習	c=0 d=0.1 t=2942
xi bao 	細胞	c=0 d=0.1 t=9805
xi guan 	習慣	c=2 d=1 t=14748
xi guan yi ge ren 	習慣一個人	c=1 d=1 t=1447
xi huan 	喜歡	c=10 d=1.47711 t=16979
xi huan de 	喜歡的	c=2 d=1.97531 t=16876
xi huan ni 	喜歡你	c=1 d=1 t=7951
xi huan shen me 	喜歡什麼	c=1 d=1 t=13984
xi huan zuo zhe 	喜歡作者	c=1 d=1 t=9509
xi jia yi 	喜加一	c=1 d=1 t=13123
xi jie 	細節	c=1 d=1 t=4312
xi li hua la 	稀里嘩啦	c=1 d=1 t=12398
xi lie 	系列	c=1 d=1 t=3119
xi shu 	洗漱	c=0 d=0.1 t=2735
xi shu yi xia 	洗漱一下	c=1 d=1 t=2736
xi ti 	習題	c=2 d=1 t=16780
xi tong 	系統	c=15 d=1.0001 t=18139
xi tong gou yong 	系統夠用	c=1 d=1 t=231
xi tong liu cheng tu 	系統流程圖	c=1 d=1 t=11919
xi tong xia zai 	系統下載	c=1 d=1 t=3071
xi wang 	希望	c=1 d=1 t=16813
xi xi 	嘻嘻	c=11 d=1 t=18163
xi xin 	悉心	c=1 d=1 t=10319
xi yang 	夕陽	c=1 d=1 t=15544
xi zhuang 	西裝	c=1 d=1 t=15258
xia 	下	c=8 d=1.53871 t=15514
xia 	俠	c=0 d=0.1 t=1476
xia ban 	下班	c=4 d=1.86936 t=16836
xia ban le 	下班了	c=2 d=1 t=11671
xia biao 	下標	c=2 d=1.97045 t=16584
xia cai 	瞎猜	c=0 d=0.1 t=12484
xia cai de 	瞎猜的	c=1 d=1 t=12485
xia ce 	下冊	c=1 d=1 t=14740
xia ci 	下次	c=2 d=1 t=16682
xia de 	下的	c=1 d=1 t=3625
xia ge yue 	下個月	c=0 d=0.1 t=17039
xia gu 	峽谷	c=1 d=1 t=14839
xia lai 	下來	c=0 d=0.1 t=16713
xia lai me 	下來麼	c=1 d=1 t=16714
xia le 	下了	c=1 d=1 t=7878
xia lou 	下樓	c=1 d=0.1 t=18182
xia lou chi fan 	下樓喫飯	c=1 d=1 t=9890
xia mian 	下面	c=3 d=1.00271 t=8178
xia qu 	下去	c=1 d=1 t=14418
xia tian 	夏天	c=1 d=1 t=11351
xia wu 	下午	c=2 d=1 t=18194
xia wu you ke me 	下午有課麼	c=1 d=1 t=13017
xia yi 	下溢	c=1 d=1 t=11759
xia yi 	下衣	c=1 d=1 t=9335
xia yi ceng 	下一層	c=1 d=1 t=5666
xia yi ji 	下一級	c=1 d=1 t=1601
xia yi ye 	下一頁	c=2 d=1.97531 t=3850
xia yu 	下雨	c=0 d=0.1 t=15299
xia yu le 	下雨了	c=1 d=1 t=15343
xia zai 	下載	c=28 d=1.00013 t=18039
xia zai bu xia lai 	下載不下來	c=1 d=1 t=5600
xia zai dian 	下載點	c=1 d=1 t=2255
xia zai le bei fen 	下載了備份	c=1 d=1 t=1803
xia zai wan bi 	下載完畢	c=1 d=1 t=3163
xia zhou 	下週	c=1 d=1 t=7240
xia zi xi 	下自習	c=1 d=0.100241 t=7396
xia zi xi le 	下自習了	c=1 d=1 t=7397
xian 	先	c=2 d=0.103946 t=12203
xian 	現	c=2 d=1.00003 t=10972
xian 	線	c=2 d=1 t=15611
xian 	閒	c=1 d=1 t=9595
xian ba 	先把	c=1 d=1.04176 t=11113
xian ba zhe ge 	先把這個	c=1 d=1 t=11114
xian ban 	纤板	c=1 d=1 t=2798
xian cheng 	線程	c=1 d=1 t=9634
xian da 	先打	c=0 d=0.1 t=1985
xian da dian hua ba 	先打電話吧	c=1 d=1 t=1986
xian de 	顯得	c=3 d=1 t=17145
xian guo 	鮮果	c=1 d=1 t=9541
xian hao hao 	先好好	c=1 d=1 t=2907
xian ka 	顯卡	c=1 d=1 t=17981
xian kan 	先看	c=0 d=0.1 t=7494
xian kan kan 	先看看	c=1 d=1 t=7495
xian lu 	線路	c=2 d=0.315727 t=5566
xian lu zhan yong 	線路佔用	c=1 d=1 t=5567
xian mu 	羨慕	c=2 d=1 t=15798
xian nan hai 	先男孩	c=1 d=1 t=12204
xian nv 	仙女	c=0 d=0.1 t=2629
xian nv zai yi qi 	仙女在一起	c=1 d=1 t=2630
xian qi 	嫌棄	c=1 d=1 t=13695
xian qie huan 	線切換	c=1 d=1 t=4256
xian ran 	顯然	c=1 d=1 t=5917
xian shang 	線上	c=2 d=1.02305 t=4004
xian shi 	現實	c=2 d=1 t=13509
xian shi 	顯示	c=26 d=2.20958 t=17742
xian shou 	現收	c=1 d=1 t=10970
xian shou dao 	現收到	c=1 d=1 t=8375
xian wo 	嫌我	c=1 d=1 t=1384
xian xing 	線性	c=4 d=1.00025 t=6392
xian xing biao 	線性表	c=23 d=4.20573 t=7787
xian xing jie 	線性階	c=2 d=1.71177 t=4880
xian xuan ze 	先選擇	c=2 d=1.89583 t=532
xian xue 	獻血	c=1 d=1 t=13015
xian yu 	鹹魚	c=1 d=1 t=9594
xian zai 	現在	c=41 d=1.03122 t=18073
xian zai jiu shi 	現在就是	c=1 d=1 t=15493
xian zhe 	閒着	c=0 d=0.1 t=16826
xian zhi 	限制	c=4 d=1 t=17093
xian zi 	仙子	c=0 d=0.1 t=6795
xian zi a 	仙子啊	c=1 d=1 t=6796
xiang 	像	c=2 d=1.01777 t=9919
xiang 	向	c=3 d=1 t=15819
xiang 	想	c=16 d=1.05009 t=17429
xiang 	鄉	c=0 d=0.1 t=16526
xiang 	項	c=1 d=0.1 t=14773
xiang bao 	想報	c=1 d=1 t=8644
xiang bi 	相比	c=1 d=1 t=18022
xiang bi jiao 	相比較	c=1 d=1 t=14152
xiang chi 	想喫	c=0 d=0.1 t=14135
xiang dang yu 	相當於	c=1 d=1 t=18125
xiang dao 	想到	c=1 d=1 t=10300
xiang de 	想得	c=2 d=1 t=14477
xiang dui 	相對	c=1 d=1 t=2914
xiang fa 	想法	c=6 d=1.00001 t=14022
xiang fen shou le 	想分手了	c=1 d=1 t=13938
xiang gan shen me 	想幹什麼	c=0 d=0.1 t=17097
xiang guan 	相關	c=5 d=1.00109 t=17635
xiang guan ji 	想關機	c=1 d=1 t=11964
xiang guan yi lai 	相關依賴	c=1 d=1 t=6966
xiang hao 	想好	c=0 d=0.1 t=15677
xiang he 	祥和	c=1 d=1 t=11413
xiang hu 	相互	c=1 d=1 t=4207
xiang hu zhi jian 	相互之間	c=1 d=1 t=4185
xiang jia 	相加	c=1 d=1 t=6270
xiang jin 	相近	c=1 d=1 t=3185
xiang jin 	詳盡	c=1 d=1 t=17688
xiang le 	想了	c=1 d=1 t=9963
xiang lian 	項鍊	c=1 d=1 t=9406
xiang liao liao 	想聊聊	c=1 d=1 t=13838
xiang lin 	相鄰	c=2 d=0.199501 t=14774
xiang lin zui xiao xiang 	相鄰最小項	c=1 d=1 t=14774
xiang mu 	項目	c=14 d=1.00114 t=15101
xiang mu kai shi 	項目開始	c=4 d=1 t=7872
xiang na me duo 	想那麼多	c=1 d=1 t=2467
xiang nei 	向內	c=1 d=1 t=209
xiang ni 	像你	c=1 d=1 t=12446
xiang ni 	想你	c=1 d=1 t=10305
xiang ni lao gu le 	想你老姑了	c=1 d=1 t=1330
xiang ni tui jian 	想你推薦	c=1 d=1 t=6757
xiang qi 	想起	c=1 d=1 t=7589
xiang qi lai 	想起來	c=1 d=1 t=7568
xiang qi lai le 	想起來了	c=2 d=1 t=16897
xiang sha ne 	想啥呢	c=2 d=1.71177 t=9223
xiang sha yang 	想啥樣	c=1 d=1 t=10553
xiang shang 	向上	c=0 d=0.1 t=5660
xiang shang yi ceng 	向上一層	c=1 d=1 t=5661
xiang shu 	項數	c=1 d=1 t=4834
xiang si 	相似	c=1 d=1.00342 t=3197
xiang si yu 	相思雨	c=2 d=1.99501 t=7603
xiang su 	像素	c=2 d=1.06561 t=3175
xiang tong 	相同	c=6 d=1.70469 t=16403
xiang tong chu fa 	相同觸發	c=1 d=1 t=14056
xiang wen yi xia 	想問一下	c=1 d=1 t=12453
xiang wo 	想我	c=1 d=1 t=878
xiang xi 	詳細	c=2 d=1 t=8690
xiang xia 	向下	c=0 d=0.1 t=1580
